Unnamed: 0,xr_2,xr_3,xr_4,xr_5,xr_7,xr_10,f_2,f_3,f_4,f_5,f_6,f_7,f_8,f_9,f_10,12m,24m,36m,48m,60m,72m,84m,96m,108m,120m,RPI_0,W875RX1_0,DPCERA3M086SBEA_0,CMRMTSPLx_0,RETAILx_0,INDPRO_0,IPFPNSS_0,IPFINAL_0,IPCONGD_0,IPDCONGD_0,IPNCONGD_0,IPBUSEQ_0,IPMAT_0,IPDMAT_0,IPNMAT_0,IPMANSICS_0,IPB51222S_0,IPFUELS_0,NAPMPI_0,CUMFNS_0,HWI_0,HWIURATIO_0,CLF16OV_0,CE16OV_0,UNRATE_0,UEMPMEAN_0,UEMPLT5_0,UEMP5TO14_0,UEMP15OV_0,UEMP15T26_0,UEMP27OV_0,CLAIMSx_0,PAYEMS_0,USGOOD_0,CES1021000001_0,USCONS_0,MANEMP_0,MANEMP_0.1,NDMANEMP_0,SRVPRD_0,USTPU_0,USWTRADE_0,USTRADE_0,USFIRE_0,USGOVT_0,CES0600000007_0,AWOTMAN_0,AWHMAN_0,NAPMEI_0,HOUST_0,HOUSTNE_0,HOUSTMW_0,HOUSTS_0,HOUSTW_0,PERMIT_0,PERMITNE_0,PERMITMW_0,PERMITS_0,PERMITW_0,NAPM_0,NAPMNOI_0,NAPMSDI_0,NAPMII_0,ACOGNO_0,DGORDER_0,ANDENO_0,AMDMUO_0,BUSINV_0,ISRATIO_0,M1SL_0,M2SL_0,MABMM301USM189S_0,M2REAL_0,AMBSL_0,TOTRESNS_0,NONBORRES_0,BUSLOANS_0,REALLN_0,NONREVSL_0,CONSPI_0,S&P 500_0,S&P: indust_0,S&P div yield_0,S&P PE ratio_0,FEDFUNDS_0,CP3Mx_0,TB3MS_0,TB6MS_0,GS1_0,GS5_0,GS10_0,AAA_0,BAA_0,COMPAPFFx_0,TB3SMFFM_0,TB6SMFFM_0,T1YFFM_0,T5YFFM_0,T10YFFM_0,AAAFFM_0,BAAFFM_0,TWEXMMTH_0,EXSZUSx_0,EXJPUSx_0,EXUSUKx_0,EXCAUSx_0,PPIFGS_0,PPIFCG_0,PPIITM_0,PPICRM_0,OILPRICEx_0,PPICMM_0,NAPMPRI_0,CPIAUCSL_0,CPIAPPSL_0,CPITRNSL_0,CPIMEDSL_0,CUSR0000SAC_0,CUSR0000SAD_0,CUSR0000SAS_0,CPIULFSL_0,CUSR0000SA0L2_0,CUSR0000SA0L5_0,PCEPI_0,DDURRG3M086SBEA_0,DNDGRG3M086SBEA_0,DSERRG3M086SBEA_0,CES0600000008_0,CES2000000008_0,CES3000000008_0,UMCSENTx_0
197108,0.004993306,0.006844422,0.002543595,0.002746553,0.006867409,0.008678118,0.0576133,0.06132956,0.06037494,0.06534616,0.06816991,0.06534927,0.06464306,0.06542131,0.06659174,0.051700346,0.054656824,0.05688107,0.057754537,0.059272861,0.060755703,0.061411927,0.061815818,0.062216428,0.062653959,-0.012552943,0.001271674,-0.004277116,0.013639276,0.00305557,-0.008454724,0.011255023,0.009369498,0.015356208,0.018553484,0.0140034,0.001629772,-0.024426399,-0.040075979,-0.004385158,0.001696117,0.030159925,0.000664835,56.8,-0.000829586,103,0.025631052,0.008349304,0.006328492,0.2,-0.1,0.034685558,-0.027046079,0.111225635,0.088607547,0,-0.011192248,-0.002707244,-0.000185477,-0.031716387,-0.011204599,-0.007109035,-0.007109035,-0.005370649,0.001307361,-0.002232642,0.001549587,0.001414678,-0.001581862,0.001468145,39.6,-0.1,39.9,49.5,7.704361168,5.659482216,6.03068526,6.752270376,6.261491684,7.634820678,5.80814249,6.075346031,6.672032945,6.23636959,54.4,57.8,47.4,58.9,0.006927364,0.005923062,-0.033698065,-0.002838463,0.005008741,-0.00159617,-0.000489587,0.0003539,-0.000466624,0.002851842,0.002313664,0.023211956,0.016795705,-0.007181288,0.006518752,0.83017,-0.002320926,-0.007246409,-0.010939033,0.019245123,-0.002682108,0.4,0.37,0.65,0.66,0.4,0.32,0.21,0,0.01,0.44,0.09,0.32,0.73,1.54,1.42,2.33,3.45,0.004939881,0.000195398,-2.10E-05,-0.000124036,0,-0.007404374,-0.009950269,-2.97E-05,-0.013862004,0,0,72.6,-0.002484413,-2.67E-06,-0.005063302,-3.05E-05,-5.36E-06,-4.71E-06,-0.005442101,-0.002466033,-0.002389433,-0.002466033,-0.001420749,7.68E-05,-0.003949263,-9.02E-05,-0.002663043,-3.38E-05,-0.002919612,26176
197109,0.001986258,0.002100326,0.001276178,0.003472361,-0.004437838,-0.043994885,0.0568628,0.06051273,0.06161215,0.06545003,0.06286674,0.05828426,0.05595876,0.05513096,0.05534005,0.05188152,0.054372159,0.056419015,0.057717299,0.059263844,0.059864327,0.059638604,0.059178624,0.058728883,0.05839,0.003415597,0.003781,0.005685732,-0.011583955,0.005563297,-0.008526816,-0.005804365,-0.003353184,-0.011510572,-0.00985625,-0.01220332,0.015122185,-0.005902196,-0.026845469,0.015760536,-0.011911111,-0.036823334,0.017679796,55.6,-0.014431181,-38,-0.016651674,0.005745194,0.003237681,0.3,0,0.116098115,0.00195631,-0.004587164,0.038714512,-0.01969625,0.103739147,-0.000198416,-0.001477138,0.029543745,-0.00465767,-0.001566256,-0.001566256,0.000376058,0.00039404,-0.005375153,0.002604168,0.002030637,-0.000525762,0.001552313,39.5,-0.1,39.9,48.4,7.708859601,5.655991811,6.131226489,6.828712072,6.190315406,7.602900462,5.802118375,6.054439346,6.606650186,6.228511004,53.6,58.4,49.7,50.9,0.005212575,0.015928885,0.101535729,0.002968607,0.0063297,0,-0.003136784,-0.001114951,-0.00312236,-0.001121244,-0.002979717,-0.01987927,-0.006745369,0.009133453,-0.006591394,0.97808,0.002382929,-0.017937701,-0.016636243,0.05317967,-0.015007384,0.26,-0.01,-0.46,-0.41,-0.24,-0.3,-0.15,-0.05,0,0.17,-0.62,-0.34,0.24,0.99,1.02,2.03,3.2,-0.006727482,-0.015753784,-0.004555072,0.006634959,-0.0081601,0.012336589,0.012428585,0.002662414,0.005532421,0,0.002166848,72.4,-6.07E-06,-0.00490063,0.002522069,-0.00276617,-5.33E-06,-0.004333696,0.0026773,-5.98E-06,-5.62E-06,-5.98E-06,-0.00010541,-0.009712198,0.003799318,-8.90E-05,0.005242394,0.001880463,0.002869347,26206
197110,-0.000834835,-0.004617661,-0.005624644,-0.005972757,-0.010948577,-0.037625436,0.05274061,0.05734023,0.062160438,0.06422158,0.06333672,0.05856581,0.056485539,0.056235803,0.05732478,0.045655264,0.049197937,0.051912035,0.054474136,0.056423625,0.057575807,0.057717235,0.057563273,0.057415776,0.057406677,0.005878465,0.004372972,0.009921295,0.006264839,0.017103249,0.004759647,0.014226193,0.010854401,0.009173991,-0.001673072,0.013912525,0.022728251,0.018955817,0.041851299,0.00817322,0.020036441,-7.25E-05,-0.021515395,59.3,0.017524796,25,-0.005088069,0.003386422,0.004133018,-0.1,0.4,-0.011874609,0.034574507,-0.051898438,-0.050479354,0.025001302,-0.015492177,0.004257161,0.007149271,0.010816313,0.006195807,0.007012651,0.007012651,0.004498321,0.002917777,0.004274953,-0.000520291,0.003863043,0.004459024,0.003570046,39.4,-0.1,39.6,53,7.579678823,5.501258211,6.11368218,6.779921907,6.139884552,7.598900457,5.840641657,6.056784013,6.630683386,6.146329258,55.1,61,48.9,40.2,0.01805672,0.003284543,-0.142906147,0.006658092,0.001304606,-0.002399042,0.000873765,0.00151563,0.0003539,0.001494892,0.001979099,0.013104039,0.026746036,-0.00276921,0.002336116,1.20014,0.000375058,0.021969964,0.023942212,-0.072477254,0.026151303,-0.02,-0.05,-0.25,-0.25,-0.39,-0.41,-0.44,-0.15,-0.17,0.14,-0.86,-0.58,-0.14,0.59,0.59,1.89,3.04,-0.017722814,-0.012331967,-0.051204539,0.014192734,0,-0.007398307,-0.009931767,-0.00809721,-7.80E-06,0,-4.69E-06,52.3,-6.04E-06,0.006535954,-0.007572585,0.002721009,-0.002306806,-4.71E-06,-0.002698979,-5.95E-06,-0.002366865,-0.002442004,-0.001403505,0.001825546,-0.002637573,-0.001405028,-0.005270023,-0.001957832,-0.005763705,26237
197111,0.000973461,0.000128281,-0.002379905,-0.001066659,0.004375106,-0.020410334,0.053743788,0.05837093,0.06111625,0.06435736,0.06770873,0.06160563,0.0570765,0.055536772,0.05627495,0.046524078,0.050133933,0.0528796,0.054938762,0.056822482,0.058636857,0.059060967,0.058812908,0.058448893,0.058231498,0.002765906,0.00406426,0.002436055,0.008963955,0.011999862,0.00188324,0.010270398,0.010402428,0.013436654,0.01796039,0.011508599,0.009743984,0.002983745,0.027718079,0.01025826,0.014753894,0.041935248,0.005332741,60.8,0.012244156,-28,0.00377615,0.002184425,0.004015818,-0.2,0.7,-0.06613251,-0.025495326,-0.006477755,0.001478197,0.039763233,-0.073351638,-8.46E-05,-0.002940654,-0.111780728,0.004613264,0.000644295,0.000644295,-0.001497193,0.001238135,-0.00562621,0.005681833,-0.001491686,0.001831263,0.003172518,39.6,0.1,39.7,49.8,7.625595072,5.463831805,6.135564891,6.820016365,6.242223265,7.613818685,5.762051383,6.06610809,6.65415252,6.216606101,55,61.4,50.9,38.1,-0.027715344,-0.022271159,0.147371145,0.005061108,0.000691146,0.006384698,-0.000895683,-0.001675973,-0.001114951,-0.001638583,-0.005680528,-0.009836066,-0.01679438,-0.003484612,0.000369314,1.32851,0.000370943,-0.021455905,-0.023942212,0.060563836,-0.021591069,-0.35,-0.27,-0.23,-0.37,-0.5,-0.21,-0.21,-0.05,-0.11,0.22,-0.74,-0.6,-0.29,0.73,0.73,2.19,3.28,-0.009899835,-0.001558533,-0.020655867,0.008146849,-0.008227236,0,0.004956632,-0.002691792,0.02221529,0,-0.006491174,51.7,-6.01E-06,-0.001637985,0.005050516,-0.010928989,0.002301497,0.002171554,-7.15E-06,-5.92E-06,0.002361276,0.002436055,4.58E-05,0.004805568,-0.000460343,-0.00099663,0.002593965,-3.25E-05,0.005730675,26267
197112,-0.002246764,-0.007708671,-0.013269377,-0.01467363,-0.009747833,-0.01542689,0.052793035,0.05623441,0.05807631,0.06119622,0.06634278,0.06461429,0.06215052,0.061663931,0.06270993,0.042474378,0.047633706,0.050500607,0.052394532,0.05415487,0.056186189,0.057390204,0.057985243,0.058393986,0.05882558,0.005071739,0.004143985,0.005046527,0.000691934,0.01152469,0.007504726,0.005783284,0.005358341,0.007923198,0.009921566,0.007084995,0.004551248,0.001686845,-0.004239052,-0.000438879,0.003687282,-0.021433688,0.002281704,56.1,0.001186595,34,0.016012607,0.00457769,0.002214342,0.2,-0.6,0.043698437,0.06860545,0.049138253,0.027678387,-0.039763233,-0.036268087,0.001185219,0.002099762,0.007743402,0.003641886,0.002099993,0.002099993,0.003495198,0.000763052,0.000675143,-0.002583313,-0.003783051,0.005463784,0.001932517,39.8,-0.1,40.1,49.3,7.747596839,5.713732806,6.144185634,6.836259277,6.177944114,7.639642288,5.755742214,6.126869184,6.677083461,6.23636959,52.3,55.4,50.9,41.6,0.053480419,0.049007288,-0.044161347,0.008584141,0.009313359,-0.012810423,-0.000448378,0.000354495,0.00151563,0.000312819,0.004253102,0.003246753,-0.006578971,-0.000459268,-0.001231213,1.07736,0.000520406,-0.04746511,-0.048696972,0.146876083,-0.048016552,-0.29,-0.58,-0.24,-0.22,-0.24,-0.15,-0.12,-0.13,-0.1,-0.07,-0.69,-0.53,-0.24,0.87,0.9,2.35,3.47,-0.002511302,0.002110978,-0.007148489,0.001485079,-0.000796575,0.002453989,0.002459966,0.005383583,-0.003068948,0,0.006495859,53.9,-5.98E-06,-2.65E-06,-0.002534856,0.008200474,-0.002301497,0.002171554,-7.11E-06,-5.89E-06,-0.002361276,-5.92E-06,0.000525427,0.001658347,-0.000416898,0.000781589,-0.005208345,-0.003798644,-0.008591907,26298
197201,-0.005057533,-0.00743789,-0.008594468,-0.009478141,-0.004227515,-0.004623971,0.05478444,0.061860298,0.06368599,0.06373095,0.06528312,0.06485633,0.06401559,0.06391408,0.06466418,0.040898709,0.047841577,0.052514484,0.055307359,0.056992078,0.058373918,0.059299976,0.059889429,0.060336612,0.060769369,0.005220526,0.006064474,0.006434831,0.016765196,-0.00063833,0.007448824,0.005663117,0.004219426,0.006710168,0.004418063,0.007730161,0.00558993,0.020361946,0.011000329,0.012383621,0.009242527,-0.009990118,0.019623483,63.9,0.006745763,62,-0.00928789,0.002075991,0.001386157,0.1,-0.5,0.06216332,-0.07768463,-0.026647345,0.005730675,-0.107911287,-0.050010421,0.001731358,-0.000579439,0.103706256,-0.018248682,-0.002906979,-0.002906979,-0.003117404,0.002797953,0.00539691,0.00283615,0.003763845,-0.00129887,0.00285175,39.7,0.1,40.3,49,7.830822995,5.768320996,6.167516491,6.88857246,6.248042875,7.665284718,5.746203191,6.165417854,6.710523109,6.259581464,57.6,63.5,53.3,47.7,0.026876832,0.05611849,0.0841658,0.020336736,0.006180501,-0.01134534,-0.000444862,-0.000781111,-0.001675973,-0.000734354,-0.003784296,0.009698231,0.022691411,-0.004736028,-0.010037648,1.71579,0.000779179,0.06660445,0.07081769,-0.220397568,0.058126652,-0.77,-0.18,-0.21,-0.15,-0.07,-0.09,0.12,-0.01,0,0.52,-0.13,0.09,0.46,1.55,1.79,3.11,4.24,-0.015542166,-0.020108443,-0.02675551,0.013267391,-0.00459266,0.004872051,0.002423715,0.002670151,-0.010958289,0,-0.019634541,65.1,-5.95E-06,-2.64E-06,0.002534856,-7.47E-06,0.006872879,-4.71E-06,-7.07E-06,-5.86E-06,0.004705891,0.00241249,0.001860927,0.002700446,0.003599335,0.000513146,0.012903405,0.001877908,0.0199071,26329
197202,-0.009570082,-0.016515692,-0.020665479,-0.025247147,-0.025198771,-0.02014002,0.05278193,0.06121423,0.06296216,0.06295326,0.06421588,0.06462018,0.06405194,0.06360466,0.06258539,0.041867821,0.047324874,0.051954659,0.054706535,0.05635588,0.05766588,0.058659352,0.059333426,0.059808008,0.060085746,0.004807894,0.00564778,0.000152707,0.009293909,-0.007635965,0.002784225,0.019348347,0.018658125,0.014933944,0.029464428,0.008707622,0.031614354,0.030596616,0.04218013,0.023780513,0.025292596,0.000834113,0.005738481,65.6,0.02260328,35,0.007499532,0.005639685,0.006694315,-0.1,0.4,-0.021812945,-0.004649626,-0.06072282,-0.052798186,0.023403408,-0.006615239,0.003366676,0.005651618,-0.002486533,0.023573723,0.002419811,0.002419811,0.001245796,0.00231484,0.006252812,0.000772897,0.002704945,0.002593362,0.001992491,39.7,-0.2,39.9,53.3,7.843456404,5.955837369,6.098074282,6.941190055,6.444131257,7.713337889,5.918893854,6.03068526,6.747586527,6.391917113,59.6,64.8,55.2,48.4,0.000596891,-0.020091833,-0.033768871,0.009028635,0.004595926,-0.009828089,0.005660941,0.002307088,0.000354495,0.002324887,0.00547629,0.038173227,0.030363152,0.003243947,0.014538166,1.35587,9.84E-05,0.040801827,0.03932589,-0.123767834,0.034628993,-0.63,-0.63,-0.63,-0.57,-0.32,-0.1,0.02,-0.06,-0.15,0.52,-0.12,0.16,0.78,2.09,2.45,3.69,4.73,-0.011903373,-0.003052733,-0.023239936,0.017225907,0.006582908,-0.009762095,-0.012263967,-0.002691715,0.010609493,0,0.021863305,79.3,-5.92E-06,-2.64E-06,0.007585371,-7.42E-06,-0.006872879,0.002152813,0.002634974,-5.83E-06,-0.002361224,-0.002430078,0.000175007,0.001535582,-0.001049556,0.000572633,-0.005240532,0.009305599,-0.011427875,26358
197203,-0.007323974,-0.012307589,-0.015023758,-0.01828475,-0.022748117,-0.032355999,0.06105532,0.06281978,0.06281401,0.06313933,0.0632376,0.06220079,0.0608593,0.05999224,0.05923304,0.04880915,0.054932237,0.057561418,0.058874566,0.059727519,0.060312532,0.060582283,0.060616911,0.060547503,0.060416056,0.008093703,0.005616062,0.00240206,0.010515331,0.00830204,0.007366516,0.009469897,0.008441295,0.00611575,0.004146741,0.007159603,0.01609705,0.01077401,0.014798011,0.002976594,0.00814244,0.066792344,0.023446972,67.7,0.005582577,129,0.039939267,-0.002008854,-0.000161231,-0.2,0.7,-0.09607383,-0.032479174,0.077084696,-0.035252693,0.160737985,-0.028803188,0.001158498,-0.003020882,-0.00666114,-0.025024193,0.000859337,0.000859337,0.000124401,0.003073199,-0.002663709,0.005359206,0.003631965,0.001546791,0.003356732,39.9,0.2,40.4,54.4,7.892825526,5.620400866,6.146329258,6.987490247,6.335054251,7.682021511,5.857933154,6.03068526,6.687108608,6.398594935,60.6,66,52.6,51.7,0.022619959,0.022353084,0.022420183,0.009077384,0.00551816,-0.01242252,0.001662199,0.000720813,-0.000781111,-0.001715793,0.003436513,-0.081513348,-0.083921211,0.003067386,0.006441976,0.88363,-0.00037249,0.018225924,0.024243612,-0.053675477,0.007150108,-0.21,-0.22,-0.18,-0.03,-0.01,0.1,0.13,0.08,0,0.51,-0.09,0.34,0.98,2.4,2.79,3.98,4.94,-0.010478554,-0.008022433,-0.024383518,0.012833078,-0.001193674,0.009726488,0.009803941,0.002648933,-0.008095162,0,-0.004395611,74.1,0.00241249,0.001614188,-0.010107441,-7.38E-06,0.004555817,-0.002166808,-0.00265597,-5.81E-06,0.002328239,0.002395155,-0.000158931,-0.004559338,0.002486394,-0.000600437,-5.83E-05,-0.007521651,0.005524184,26389
197204,-0.009452449,-0.0124379,-0.017052169,-0.021412631,-0.02216533,-0.022271235,0.05669463,0.06360399,0.06184402,0.06126836,0.06423152,0.06586442,0.06555134,0.06563997,0.06542826,0.044345973,0.050520301,0.054881533,0.056622154,0.057551394,0.058664748,0.059693273,0.060425532,0.061004914,0.061447248,0.006318034,0.006500718,0.016130296,-0.01085234,0.025501594,0.006407345,0.00474122,0.003120443,-0.000326868,-0.006931263,0.002963498,0.012238427,0.009989696,0.012008418,0.009089733,0.007095831,0.004435742,0.004034038,63.5,0.004519167,62,0.023092646,0.009054575,0.007636077,0.2,-0.1,0.075940359,-0.02931124,-0.055614012,-0.066099802,-0.041769413,-0.002850358,0.003841876,0.004871362,0.00500001,0.005541886,0.004807445,0.004807445,0.003720242,0.003369946,0.009987876,0.004329562,0.001812924,0.002318095,0.003034904,39.9,0.1,40.4,53.9,7.765993079,5.726847748,6.013715156,6.91968385,6.406879986,7.652070746,5.669880923,6.001414878,6.771935556,6.28785856,59.8,64.6,57.1,51.5,0.028494306,0.043722167,0.018543119,0.018965355,0.001096143,-0.012578782,-0.000942937,-0.000394161,0.002307088,0.004430298,-0.007984667,0.030395137,0.027726928,0.000455814,-0.006367427,1.26225,-0.000430188,0.023486284,0.023669744,-0.067740273,0.015018534,0.53,0.29,0.53,0.49,0.4,0.18,-0.01,-0.03,0.01,0.27,-0.1,0.29,0.84,2.04,2.24,3.41,4.41,-0.004886998,-0.001140221,-0.008722772,0.005515354,-0.006190116,-0.007290433,-0.004901971,-0.002670153,-0.00790518,0,0.017391743,73.9,-0.004842624,-0.003236249,0.002522069,-7.34E-06,-0.004555817,-0.002152853,-6.93E-06,-5.78E-06,-0.004672906,-0.004807702,-0.002520855,0.000532934,-0.006360016,-0.000917215,-5.74E-05,-3.06E-05,-0.005617301,26419
197205,-0.015591258,-0.019411908,-0.022257067,-0.023585274,-0.030875388,-0.043312103,0.053835451,0.06216712,0.061165517,0.06376022,0.06338454,0.06434025,0.06514171,0.06577028,0.06558464,0.044960388,0.049397919,0.05365432,0.055532119,0.057177738,0.058212205,0.05908764,0.059844399,0.060502831,0.061011012,0.001359162,0.00323458,0.002918618,0.018357902,0.002458099,0.009968365,0.010538905,0.013051083,0.011584204,0.028695054,0.003308358,0.016815127,0.009157028,0.012647104,0.004752809,0.010826161,-0.009153049,-0.010763231,62.6,0.008230858,64,-0.000229506,-0.000336043,-0.000443224,0,0,-0.063414099,0.074360874,-0.073730969,-0.124052649,0.034164813,0.000951022,0.002524939,0.001896655,-0.010361055,-0.008311576,0.004145414,0.004145414,0.00370508,0.002813226,-0.000881446,0.002283975,0.007229569,0.003337187,0.002346975,39.9,0.1,40.8,55.9,7.656810091,5.638354669,6.070737728,6.975413927,6.142037406,7.668093709,5.80814249,6.120297419,6.770789424,6.173786104,59.3,63,55,52.3,0.022017743,0.024498769,0.007654353,0.022076404,0.009088102,-0.003381237,-0.003039599,-0.004032806,0.000720813,-0.006387487,0.00298487,0.021943574,0.02491352,0.006146062,0.0005999,1.70504,0.000610046,0.01016175,0.013278203,-0.028819502,0.001660139,0.34,0.45,-0.02,0.11,0.29,0.3,0.12,0.06,0,0.38,-0.46,0.06,0.79,2,2.02,3.13,4.07,0.001748099,-0.001505008,0.003379,-0.003022017,-0.002808145,0,0,-7.00E-06,0.015625318,0,-0.013090661,73.4,0.002412546,0.003225809,0,-7.30E-06,0.002270149,0.002148229,-6.89E-06,-0.002400962,0.00232829,0.002395211,9.25E-05,0.002003999,-0.000163887,-0.000264921,-0.002547195,0.001792854,-3.04E-05,26450
